3370	0
3380.595684	0.0103911792
3491.332576	0.01170796081
3625.86959	0.006033450495
3744.716482	0.006121565672
3806.975225	0.005425148347
4171.980868	0.008886334068
4232.970345	0.1013101518
4241.758646	0.1366279685
4251.598061	0.1826394223
4252.338469	0.2996275082
4252.890923	0.1613256505
4258.177234	0.2107235299
4264.574817	0.2378733452
4274.67757	0.2739957768
4279.641085	0.3661318727
4279.810169	0.3437451879
4287.968109	0.3875922303
4290.381395	0.4427259606
4290.526723	0.4234845125
4296.980691	0.4681458677
4308.006277	0.5444346407
4313.536632	0.5882820724
4318.703748	0.6267005616
4322.704334	0.6590022077
4328.883376	0.6972462707
4339.116285	0.7339765853
4346.274827	0.7852596947
4351.223762	0.8168840637
4355.231291	0.8482664218
4361.816765	0.8755162848
4372.865372	0.9112918157
4441.074979	0.9527010636
4470.462447	0.9524252887
4592.166894	0.9488259214
4711.059501	0.9428614382
4829.888626	0.9453018733
4948.769855	0.9408439321
5067.592592	0.9441301451
5186.42052	0.9467291635
5304.378994	0.9520480124
5425.224388	0.9497914434
5542.912488	0.9534425658
5661.733828	0.9569137928
5780.606273	0.9536187962
5899.45097	0.9539976475
6016.638656	0.9489730223
6085.323189	0.9467149301
6165.608911	0.9320473065
6284.316464	0.950583953
6394.713562	0.9454665054
6504.958744	0.9604627144
6623.782879	0.9635639135
6742.571081	0.9714226135
6861.484849	0.9626564908
6980.347252	0.9606909515
7099.827866	0.9650279138
7193.143389	0.9603713333
7336.825706	0.9691937027
7455.638262	0.9738278743
7574.506115	0.9711407807
7693.423476	0.9618989079
7812.27995	0.9607183562
7931.025353	0.9742437684
8049.797864	0.9841799105
8168.618805	0.9877039985
8279.076656	0.9745428503
8389.534973	0.9613200307
8508.263487	0.9770814684
8627.17426	0.9687118041
8709.369111	0.9510440324
8740.663574	0.9288377501
8758.807235	0.8994178811
8796.747317	0.8090793128
8806.272613	0.7842842133
8811.740222	0.7597246825
8821.348649	0.7364115306
8825.82832	0.705282309
8833.05595	0.6849759828
8841.239538	0.6504967525
8846.785269	0.6155938047
8856.415479	0.5893966123
8862.35774	0.5519467789
8868.223967	0.5245638797
8876.537217	0.4943261205
8881.901583	0.4620272169
8888.726102	0.4326506528
8896.362985	0.395624625
8903.368228	0.3672970133
8907.855235	0.3351964686
8926.806586	0.2612806809
8932.681197	0.2327876981
8943.105419	0.2013708245
8955.81127	0.1675882837
8967.381789	0.1342627527
8981.784415	0.1006189581
9004.668942	0.06792981101
9033.188195	0.03850840486
9104.111131	0.01463112821
9110	0
